1443,fruit
1444,from the french
1460,tv
1465,oops!
1476,the environment
1480,missing links
1484,=
1486,celebrity books
1490,celebrity marriages
1496,1970
1498,multiple meanings
1499,tv actors & roles
1510,the emmys
1513,abbrev.
1515,""p"s & "q"s"
1525,patriotic songs
1527,the circus
1529,college sports
1545,famous couples
1555,poets
1556,geometry
1561,rock groups
1565,'50s tv
1566,"washington, d.c."
1568,beatles lyrics
1579,american authors
1581,myths & legends
1586,famous women
1587,song lyrics
1588,law
1591,novels
1601,foreign currency
1606,math
1607,colorful phrases
1608,the 1930s
1609,famous folks
1613,abbreviations
1616,horsing around
1633,words within words
1637,the 50 states
1638,international cuisine
1640,business
1643,actors onstage
1652,salad
1653,historic quotes
1655,scientists
1672,numerical phrases
1676,mother goose
1679,rodents
1681,fabrics
1686,8-letter words
1694,days of the week
1701,slang
1725,aviation
1729,silent movies
1731,british royalty
1734,the 19th century
1737,first names
1738,the body human
1751,medicine
1755,verbs
1756,food for thought
1759,7-letter words
1765,books
1774,star trek
1775,bones
1777,compound words
1782,inventors & inventions
1784,the south
1785,the 1800s
1786,track & field
1789,famous firsts
1794,months
1795,bread
1798,gems & jewelry
1800,the white house
1811,approximate weights & measures
1813,grave matters
1817,official state things
1819,1989
1827,in the bookstore
1837,sports nicknames
1839,literary terms
1847,in the dictionary
1848,ceremonies
1852,economics
1863,recent movies
1864,-ologies
1869,tv spin-offs
1873,the supreme court
1874,nonfiction
1882,european history
1884,medical matters
1890,songs of the '60s
1897,the roaring '20s
1898,cliches
1904,medals & decorations
1912,say cheese
1915,early america
1917,design
1921,films of the '70s
1928,sitcoms
1935,volcanoes
1936,cats
1940,the bill of rights
1953,the wild west
1971,journalism
1982,the 1980s
1984,cities
1988,actors & their roles
1992,science & technology
1996,national anthems
1997,state nicknames
2015,norse mythology
2024,world travel
2030,textiles
2042,female firsts
2053,stock symbols
2076,architecture
2096,musical terms
2098,vice presidents
2104,pro basketball
2109,the new testament
2110,tv sitcoms
2120,foreign words & phrases
2123,eponyms
2125,the american revolution
2126,theatre
2127,world facts
2128,annual events
2143,colorful words & phrases
2144,films of the '90s
2150,phobias
2161,photography
2164,world flags
2177,movie songs
2196,tv teens
2212,earth science
2252,poets & poetry
2253,years
2258,the american flag
2261,labor
2272,music class
2278,""w"ords"
2287,ancient history
2290,musical theatre
2310,countries of the world
2311,last name's the same
2313,around the world
2321,general science
2324,literary characters
2329,treaties
2332,prefixes
2341,french cuisine
2344,money matters
2345,footwear
2346,"crossword clues "c""
2349,animal words & phrases
2351,historic nicknames
2361,cosmetics & perfume
2376,plants & trees
2377,movie quotes
2380,seeing red
2395,sweet treats
2396,1990
2404,completes the proverb
2412,card games
2436,"ends in "x""
2453,song standards
2457,alphabetic homophones
2459,archaeology
2460,occupations
2465,how do you...
2479,science fiction
2492,dinosaurs
2494,red
2503,breakfast cereals
2507,decorative arts
2535,u.s,presidents
2543,newspapers & magazines
2550,notable names
2557,containers
2563,religious leaders
2568,health & medicine
2569,coffee break
2571,unofficial state nicknames
2591,black america
2594,celebrity astrology
2613,state mottoes
2616,name the decade
2634,the 16th century
2665,pope-pourri
2673,u.s,coins
2681,political terms
2701,""g"eography"
2749,historic documents
2770,"crossword clues "a""
2771,nutrition
2779,""c" food"
2792,state flags
2795,"crossword clues "f""
2803,quotations
2805,going to the dogs
2829,politicians
2837,genesis
2848,tv roles
2853,"crossword clues "p""
2856,the 1990s
2858,born & died
2861,rock music
2876,u.s,city nicknames
2897,british history
2900,american hodgepodge
2902,the 1960s
2905,women's firsts
2909,notable women
2910,"crossword clues "k""
2912,historic women
2916,ranks & titles
2929,video games
2932,historic americans
2940,shakespearean actors
2954,tv personalities
2965,beverages
2968,the united nations
2974,this & that
2982,pro football
2991,european capitals
2995,the 1920s
3004,ancient times
3022,biblical people
3030,celebrity rhyme time
3047,international food & drink
3049,sociology
3051,"crossword clues "m""
3061,people in history
3076,first novels
3093,historic homes
3095,1995
3111,war
3115,european geography
3123,literary hodgepodge
3124,contemporaries
3131,movie debuts
3145,college hodgepodge
3158,"crossword clues "r""
3163,native americans
3188,20th century women
3193,""v"ocabulary"
3195,the western hemisphere
3213,general knowledge
3216,the animal kingdom
3227,art & artists
3235,"crossword clues "s""
3238,english lit
3282,"crossword clues "l""
3294,classic sitcoms
3296,seas
3300,medieval times
3351,"crossword clues "t""
3386,quotable women
3405,bestsellers
3408,pop quiz
3415,when they were in college
3416,take a letter
3420,airport codes
3423,athletes
3429,sports terms
3435,fashion statements
3453,authors' rhyme time
3456,hail to the chief
3464,brand names
3492,before & after
3500,world war i
3506,baseball nicknames
3516,pop culture
3521,17th century america
3589,sports stars
3592,tv theme songs
3623,the korean war
3651,arts & crafts
3653,tv characters
3698,science class
3726,gates
3737,idioms
3788,food stuff
3795,cliffs notes
3837,states of the union
3864,anagrammed countries
3865,medical history
3874,exploration
3952,kiddy lit
3953,fix the proverb
3957,tool time
3984,college towns
3991,beastly expressions
4003,what's for breakfast?
4057,better known as...
4070,"crossword clues "g""
4146,state license plates
4218,the u.s,constitution
4275,african americans
4290,what's my line?
4326,actor-directors
4393,a christmas songbook
4397,15 minutes of fame
4402,college football
4412,getting possessive
4432,on the go
4482,color my world
4507,theme park fun
4516,flower power
4533,halls of fame
4596,symbols
4599,novel quotes
4612,children's lit
4694,miscellany
4698,around the usa
4710,cockney rhyming slang
4713,e before i
4725,where is it?
4762,name the movie
4848,u.s,bodies of water
4854,parts of the whole
4886,who played 'em?
4952,geographic terms
4983,which came first?
5004,money talks
5019,official state stuff
5043,name the automaker
5077,what's in a name?
5119,you do the math
5161,biography
5168,the cinema
5170,sloganeering
5222,state facts
5456,word puzzles
5497,20th century novels
5503,anagrammed u.s,cities
5535,on the map
5546,the 18th century
5590,u.s,place names
5647,flags of the world
5650,classic sitcom episodes
5659,celebs
5723,20th century people
5726,the northernmost capital city
5732,presidential rhyme time
5757,put 'em in order
5767,major league baseball
5775,beastly rhyme time
5788,from page to screen
5795,first name's the same
5806,tv catchphrases
5807,literary quotes
5821,u.s,stamps
5826,a novel category
5850,the internet
5857,the history channel
5875,states' most populous cities
5925,state of the union
5946,on the money
5968,cheesy countries
6040,first things first
6054,""b" prepared"
6107,tricky questions
6172,british authors
6258,at the movies
6293,which cabinet department?
6326,state songs
6357,stuff
6382,that's so cliche!
6499,state capital nicknames
6646,u.s,islands
6659,jeopardy! place
6682,networking
6733,tv or not tv
6740,quasi-related pairs
6792,4-letter verbs
6939,albums
7185,broadway debuts
7215,backwords
7225,states by counties
7244,classic ads & jingles
7314,lit-pourri
7328,sandwiches
7375,literary locales
7378,sports shorts
7410,the play's the thing
7523,word & phrase origins
7841,initially yours
7892,tv: who played 'em?
7898,tv shows by character
7929,get a job!
7933,crime time
8029,the good book
8040,4-syllable words
8088,state quarters
8099,awards & honors
8257,what are you afraid of?
8278,movie taglines
8286,""j" walking"
8368,brit speak
8466,the spanish-american war
8478,palindromic words
